"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","2.0114942528735633","2016","02","02"
"0.87","2.9885057471264367","2016","02","02"
"0.87","4.977011494252873","2016","02","03"
"0.87","2.9885057471264367","2016","02","03"
"0.87","5.988505747126437","2016","02","03"
"0.87","4.0","2016","02","03"
"0.87","4.977011494252873","2016","02","03"
"0.87","4.0","2016","02","03"
"0.87","4.0","2016","02","03"
"0.87","2.9885057471264367","2016","02","04"
"0.87","2.9885057471264367","2016","02","04"
"0.87","4.0","2016","02","04"
"0.87","6.988505747126437","2016","02","04"
"0.87","4.0","2016","02","04"
"0.87","5.988505747126437","2016","02","04"
"1.75","2.9771428571428573","2016","02","04"
"0.87","4.0","2016","02","04"
"0.87","2.9885057471264367","2016","02","04"
"0.87","4.0","2016","02","04"
"0.87","4.0","2016","02","04"
"0.87","4.0","2016","02","04"
"0.87","4.0","2016","02","04"
"0.87","2.9885057471264367","2016","02","05"
"0.87","4.0","2016","02","05"
"0.87","4.977011494252873","2016","02","07"
"0.87","2.9885057471264367","2016","02","07"
"0.87","4.0","2016","02","07"
"0.87","4.0","2016","02","07"
"0.87","4.0","2016","02","07"
"0.87","2.9885057471264367","2016","02","07"
"0.87","5.988505747126437","2016","02","07"
"1.75","4.462857142857143","2016","02","08"
"0.87","4.977011494252873","2016","02","09"
"0.87","4.0","2016","02","09"
"1.75","4.462857142857143","2016","02","09"
"0.87","4.977011494252873","2016","02","10"
"0.87","4.977011494252873","2016","02","10"
"0.87","4.0","2016","02","10"
"0.87","4.0","2016","02","10"
"0.87","8.0","2016","02","11"
"0.87","4.977011494252873","2016","02","11"
"0.87","6.988505747126437","2016","02","11"
"0.87","5.988505747126437","2016","02","11"
"0.87","4.0","2016","02","11"
"0.87","5.988505747126437","2016","02","11"
"0.87","4.0","2016","02","12"
"0.87","9.988505747126437","2016","02","12"
"0.87","6.988505747126437","2016","02","12"
"0.87","4.0","2016","02","12"
"0.87","8.977011494252872","2016","02","12"
"0.87","4.977011494252873","2016","02","12"
"0.87","4.0","2016","02","12"
"0.87","8.0","2016","02","12"
"0.87","4.0","2016","02","12"
"0.87","4.0","2016","02","12"
"0.87","4.977011494252873","2016","02","13"
"0.87","4.977011494252873","2016","02","13"
"0.87","2.9885057471264367","2016","02","13"
"0.87","4.977011494252873","2016","02","17"
"0.87","5.988505747126437","2016","02","17"
"0.87","6.988505747126437","2016","02","19"
"0.87","5.988505747126437","2016","02","19"
"0.87","5.988505747126437","2016","02","19"
"1.75","3.474285714285714","2016","02","19"
"0.87","4.977011494252873","2016","02","20"
"0.87","4.977011494252873","2016","02","20"
"0.87","4.0","2016","02","20"
"0.87","4.977011494252873","2016","02","20"
"0.87","4.977011494252873","2016","02","21"
"0.87","6.988505747126437","2016","02","21"
"0.87","6.988505747126437","2016","02","21"
"1.75","3.474285714285714","2016","02","21"
"0.87","6.988505747126437","2016","02","21"
"0.87","4.977011494252873","2016","02","21"
"0.87","5.988505747126437","2016","02","21"
"0.87","8.0","2016","02","21"
"0.87","8.0","2016","02","21"
"0.87","4.0","2016","02","21"
"0.87","4.0","2016","02","21"
"0.87","6.988505747126437","2016","02","21"
"0.87","8.0","2016","02","21"
"0.87","5.988505747126437","2016","02","21"
"0.87","5.988505747126437","2016","02","21"
"0.87","4.0","2016","02","22"
"0.87","2.9885057471264367","2016","02","22"
"0.87","4.0","2016","02","22"
"0.87","4.0","2016","02","23"
"0.87","4.977011494252873","2016","02","23"
"0.87","2.9885057471264367","2016","02","23"
"0.87","6.988505747126437","2016","02","23"
"0.87","2.0114942528735633","2016","02","24"
"0.87","4.0","2016","02","24"
"0.87","4.0","2016","02","24"
"0.87","4.0","2016","02","24"
"0.87","4.0","2016","02","24"
"1.75","2.9771428571428573","2016","02","24"
